gamemod,tag,symbol,totalbet,X1,X2,X3,X4,X5,totalwin
bg,normal,0,600,0,0,800,0,0,800
bg,normal,1,600,0,0,200,200,0,400
bg,normal,2,600,0,0,0,0,0,0
bg,normal,3,600,0,0,0,0,0,0
bg,normal,4,600,0,0,0,0,0,0
bg,normal,5,600,0,0,0,0,0,0
bg,normal,6,600,0,0,0,0,0,0
bg,normal,7,600,0,0,0,0,0,0
bg,normal,,600,,,,,,1200
bg,special,0,600,0,0,0,0,0,0
bg,special,1,600,0,0,0,0,0,0
bg,special,2,600,0,0,0,0,0,0
bg,special,3,600,0,0,0,0,0,0
bg,special,4,600,0,0,0,0,0,0
bg,special,5,600,0,0,0,0,0,0
bg,special,6,600,0,0,0,0,0,0
bg,special,7,600,0,0,0,0,0,0
bg,special,,600,,,,,,0
bg,,,600,,,,,,1200
fg,normal,0,600,0,0,0,0,0,0
fg,normal,1,600,0,0,0,0,0,0
fg,normal,2,600,0,0,0,0,0,0
fg,normal,3,600,0,0,0,0,0,0
fg,normal,4,600,0,0,0,0,0,0
fg,normal,5,600,0,0,0,0,0,0
fg,normal,6,600,0,0,0,0,0,0
fg,normal,7,600,0,0,0,0,0,0
fg,normal,,600,,,,,,0
fg,special,0,600,0,0,0,0,0,0
fg,special,1,600,0,0,0,0,0,0
fg,special,2,600,0,0,400,0,0,400
fg,special,3,600,0,0,0,100,0,100
fg,special,4,600,0,0,100,0,0,100
fg,special,5,600,0,0,0,0,0,0
fg,special,6,600,0,0,0,0,0,0
fg,special,7,600,0,0,0,0,0,0
fg,special,,600,,,,,,600
fg,,,600,,,,,,600
,,,600,,,,,,1800



name,betnums,triggernums,totalnums,hitrate,average
special,6,2,6,0.3333333333333333,3



totalnums,winnums,Hit Frequency,Variance,MaxReturn,MaxReturnNums
6,0,0,0,0,0
